GO_term1	GO_term2	similarity
GO:0007208	GO:0007208	0.481
GO:0035722	GO:0035722	0.515
GO:0030521	GO:0030521	0.499
GO:0007263	GO:0007263	0.826
GO:0033626	GO:0033626	0.476
GO:0038155	GO:0038155	0.568
GO:0061737	GO:0061737	0.736
GO:0008277	GO:0008277	0.615
GO:0003376	GO:0003376	0.688
GO:0002757	GO:0002757	0.527
GO:0008626	GO:0008626	0.614
GO:0007602	GO:0007602	0.615
GO:0048015	GO:0048015	0.826
GO:0032486	GO:0032486	0.769
GO:0071526	GO:0071526	0.736
GO:0010646	GO:0010646	0.576
GO:2001236	GO:2001236	0.467
GO:0050849	GO:0050849	0.533
GO:0008592	GO:0008592	0.592
GO:0097696	GO:0097696	0.736
GO:0038065	GO:0038065	0.736
GO:0050848	GO:0050848	0.652
GO:0031547	GO:0031547	0.627
GO:0008625	GO:0008625	0.598
GO:0046328	GO:0046328	0.519
GO:0038066	GO:0038066	0.694
GO:0031098	GO:0031098	0.812
GO:2001242	GO:2001242	0.544
GO:0010882	GO:0010882	0.485
GO:0009785	GO:0009785	0.561
GO:0016601	GO:0016601	0.769
GO:0051386	GO:0051386	0.467
GO:0036462	GO:0036462	0.574
GO:2000583	GO:2000583	0.524
GO:0010640	GO:0010640	0.567
GO:0010738	GO:0010738	0.678
GO:0098664	GO:0098664	0.507
GO:0035772	GO:0035772	0.515
GO:0038043	GO:0038043	0.568
GO:0070106	GO:0070106	0.568
GO:0038111	GO:0038111	0.515
GO:0038113	GO:0038113	0.515
GO:0038189	GO:0038189	0.736
GO:0030845	GO:0030845	0.736
GO:0008589	GO:0008589	0.592
GO:0006984	GO:0006984	0.815
GO:0038157	GO:0038157	0.568
GO:0035590	GO:0035590	0.736
GO:0002764	GO:0002764	0.662
GO:2000348	GO:2000348	0.592
GO:0007217	GO:0007217	0.736
GO:0038162	GO:0038162	0.515
GO:0038156	GO:0038156	0.568
GO:0070757	GO:0070757	0.568
GO:0070102	GO:0070102	0.515
GO:0031959	GO:0031959	0.501
GO:1905539	GO:1905539	0.567
GO:0038163	GO:0038163	0.513
GO:0036500	GO:0036500	0.533
GO:0038203	GO:0038203	0.826
GO:0007172	GO:0007172	0.538
GO:0045747	GO:0045747	0.48
GO:0035020	GO:0035020	0.586
GO:0038095	GO:0038095	0.556
GO:0023021	GO:0023021	0.544
GO:0032924	GO:0032924	0.627
GO:0038092	GO:0038092	0.592
GO:0032933	GO:0032933	0.614
GO:0051057	GO:0051057	0.55
GO:0023035	GO:0023035	0.736
GO:0097400	GO:0097400	0.515
GO:0086100	GO:0086100	0.736
GO:0140227	GO:0140227	0.507
GO:0140105	GO:0140105	0.568
GO:0036480	GO:0036480	0.496
GO:0035669	GO:0035669	0.557
GO:0097527	GO:0097527	0.682
GO:0034138	GO:0034138	0.674
GO:0035024	GO:0035024	0.479
GO:0032012	GO:0032012	0.586
GO:0048010	GO:0048010	0.627
GO:0050851	GO:0050851	0.484
GO:0048012	GO:0048012	0.627
GO:0038188	GO:0038188	0.736
GO:0038148	GO:0038148	0.513
GO:0039529	GO:0039529	0.531
GO:0038145	GO:0038145	0.515
GO:2001045	GO:2001045	0.48
GO:0086101	GO:0086101	0.562
GO:0031583	GO:0031583	0.736
GO:2001046	GO:2001046	0.48
GO:0036323	GO:0036323	0.592
GO:0046578	GO:0046578	0.625
GO:1900449	GO:1900449	0.592
GO:0007206	GO:0007206	0.582
GO:0071879	GO:0071879	0.472
GO:0050847	GO:0050847	0.499
GO:1900744	GO:1900744	0.519
GO:0035723	GO:0035723	0.515
GO:0035655	GO:0035655	0.515
GO:0038110	GO:0038110	0.515
GO:0035771	GO:0035771	0.515
GO:1904894	GO:1904894	0.48
GO:0038172	GO:0038172	0.568
GO:0002755	GO:0002755	0.674
GO:0001959	GO:0001959	0.487
GO:0008063	GO:0008063	0.736
GO:0034134	GO:0034134	0.674
GO:0034162	GO:0034162	0.674
GO:0038159	GO:0038159	0.513
GO:0002774	GO:0002774	0.532
GO:0002431	GO:0002431	0.484
GO:0002768	GO:0002768	0.593
GO:0070303	GO:0070303	0.505
GO:0002753	GO:0002753	0.793
GO:0007252	GO:0007252	0.558
GO:0038173	GO:0038173	0.568
GO:0035872	GO:0035872	0.736
GO:0035666	GO:0035666	0.627
GO:0007231	GO:0007231	0.643
GO:0035790	GO:0035790	0.592
GO:0007178	GO:0007178	0.674
GO:0046580	GO:0046580	0.509
GO:0071877	GO:0071877	0.502
GO:0035385	GO:0035385	0.736
GO:1990256	GO:1990256	0.651
GO:1900107	GO:1900107	0.495
GO:0048014	GO:0048014	0.627
