GO_term1	GO_term2	similarity
GO:0001739	GO:0001739	0.756
GO:0031390	GO:0031390	0.717
GO:0033553	GO:0033553	0.803
GO:0031422	GO:0031422	0.717
GO:0035985	GO:0035985	0.803
GO:0000803	GO:0000803	0.765
GO:0005882	GO:0005882	0.703
GO:0099160	GO:0099160	0.712
GO:0032991	GO:0032991	0.743
GO:0017053	GO:0017053	0.788
GO:0019185	GO:0019185	0.788
GO:0098556	GO:0098556	0.74
GO:0000836	GO:0000836	0.732
GO:0098554	GO:0098554	0.859
GO:0043541	GO:0043541	0.829
GO:0030868	GO:0030868	0.85
GO:0033017	GO:0033017	0.825
GO:0009923	GO:0009923	0.775
GO:0098553	GO:0098553	0.859
GO:0000506	GO:0000506	0.775
GO:0014701	GO:0014701	0.797
GO:0030867	GO:0030867	0.85
GO:0034098	GO:0034098	0.829
GO:0042824	GO:0042824	0.696
GO:0061779	GO:0061779	0.692
GO:0005784	GO:0005784	0.732
GO:0042825	GO:0042825	0.692
GO:1990604	GO:1990604	0.829
GO:1990332	GO:1990332	0.705
GO:0017059	GO:0017059	0.74
GO:0071782	GO:0071782	0.705
GO:0036513	GO:0036513	0.829
GO:0000835	GO:0000835	0.74
GO:0000839	GO:0000839	0.725
GO:0031205	GO:0031205	0.741
GO:0008250	GO:0008250	0.775
GO:0032937	GO:0032937	0.696
GO:0005787	GO:0005787	0.775
GO:1990629	GO:1990629	0.727
GO:0005785	GO:0005785	0.741
GO:0031502	GO:0031502	0.74
GO:0098826	GO:0098826	0.701
GO:0036502	GO:0036502	0.829
GO:0030424	GO:0030424	0.825
GO:0030425	GO:0030425	0.691
GO:0150034	GO:0150034	0.748
GO:0044304	GO:0044304	0.748
GO:0044306	GO:0044306	0.846
GO:1990032	GO:1990032	0.709
GO:0061845	GO:0061845	0.846
GO:0044300	GO:0044300	0.709
GO:0070852	GO:0070852	0.825
GO:1990769	GO:1990769	0.825
GO:0044309	GO:0044309	0.825
GO:1990031	GO:1990031	0.748
GO:0097447	GO:0097447	0.751
GO:1990030	GO:1990030	0.748
GO:0097462	GO:0097462	0.825
GO:0044302	GO:0044302	0.709
GO:0032391	GO:0032391	0.758
GO:0097733	GO:0097733	0.899
GO:0120200	GO:0120200	0.898
GO:0097381	GO:0097381	0.839
GO:0042622	GO:0042622	0.692
GO:0120199	GO:0120199	0.898
GO:0120206	GO:0120206	0.71
GO:0034704	GO:0034704	0.879
GO:0034702	GO:0034702	0.888
GO:0005891	GO:0005891	0.698
GO:0034705	GO:0034705	0.879
GO:0034707	GO:0034707	0.766
GO:1904602	GO:1904602	0.692
GO:1902495	GO:1902495	0.822
GO:0034706	GO:0034706	0.879
GO:0017071	GO:0017071	0.879
GO:1990662	GO:1990662	0.698
GO:0090533	GO:0090533	0.698
GO:0098552	GO:0098552	0.803
GO:0019898	GO:0019898	0.803
GO:0019867	GO:0019867	0.788
GO:0098796	GO:0098796	0.695
GO:0005911	GO:0005911	0.709
GO:0005782	GO:0005782	0.725
GO:0005778	GO:0005778	0.735
GO:0034709	GO:0034709	0.711
GO:0005965	GO:0005965	0.781
GO:0005968	GO:0005968	0.781
GO:0034274	GO:0034274	0.781
GO:0005788	GO:0005788	0.725
GO:0005761	GO:0005761	0.811
GO:0016507	GO:0016507	0.803
GO:0042645	GO:0042645	0.811
GO:0005758	GO:0005758	0.702
GO:0017087	GO:0017087	0.843
GO:0045244	GO:0045244	0.714
GO:0009841	GO:0009841	0.803
GO:0000262	GO:0000262	0.723
GO:0005760	GO:0005760	0.725
GO:0031966	GO:0031966	0.877
GO:0005741	GO:0005741	0.706
GO:0030061	GO:0030061	0.927
GO:0099617	GO:0099617	0.851
GO:0098800	GO:0098800	0.82
GO:0031314	GO:0031314	0.856
GO:0044284	GO:0044284	0.882
GO:0032478	GO:0032478	0.712
GO:0019866	GO:0019866	0.761
GO:0035632	GO:0035632	0.789
GO:0042721	GO:0042721	0.789
GO:0005744	GO:0005744	0.789
GO:0042720	GO:0042720	0.789
GO:0071943	GO:0071943	0.778
GO:1990907	GO:1990907	0.778
GO:0070847	GO:0070847	0.778
GO:0090575	GO:0090575	0.895
GO:1990647	GO:1990647	0.778
GO:0036488	GO:0036488	0.778
GO:0035976	GO:0035976	0.778
GO:0070721	GO:0070721	0.778
GO:0071144	GO:0071144	0.729
GO:0032444	GO:0032444	0.778
GO:0016602	GO:0016602	0.778
GO:1990589	GO:1990589	0.778
GO:1990590	GO:1990590	0.778
GO:1990617	GO:1990617	0.778
GO:0000439	GO:0000439	0.778
GO:1990513	GO:1990513	0.778
GO:0034718	GO:0034718	0.729
GO:1990664	GO:1990664	0.778
GO:0005876	GO:0005876	0.753
GO:0005828	GO:0005828	0.72
GO:0005827	GO:0005827	0.691
GO:0110016	GO:0110016	0.74
GO:0035060	GO:0035060	0.844
GO:0140288	GO:0140288	0.844
GO:0071564	GO:0071564	0.844
GO:0016586	GO:0016586	0.844
GO:0140092	GO:0140092	0.844
GO:0071565	GO:0071565	0.844
GO:0090536	GO:0090536	0.773
GO:0016590	GO:0016590	0.773
GO:0090537	GO:0090537	0.773
GO:0008623	GO:0008623	0.773
GO:0016589	GO:0016589	0.773
GO:0031213	GO:0031213	0.773
GO:0090535	GO:0090535	0.773
GO:0001741	GO:0001741	0.782
GO:0000776	GO:0000776	0.729
GO:0000805	GO:0000805	0.782
GO:0000806	GO:0000806	0.782
GO:0008278	GO:0008278	0.73
GO:0000796	GO:0000796	0.765
GO:0005663	GO:0005663	0.739
GO:0031391	GO:0031391	0.735
GO:0030894	GO:0030894	0.697
GO:0034457	GO:0034457	0.774
GO:0101019	GO:0101019	0.773
GO:0043596	GO:0043596	0.73
GO:0005731	GO:0005731	0.788
GO:0000794	GO:0000794	0.719
GO:0031429	GO:0031429	0.742
GO:0005736	GO:0005736	0.749
GO:0005668	GO:0005668	0.785
GO:0005712	GO:0005712	0.709
GO:0005726	GO:0005726	0.736
GO:0001740	GO:0001740	0.694
GO:0005655	GO:0005655	0.747
GO:0061773	GO:0061773	0.829
GO:0070860	GO:0070860	0.785
GO:0005713	GO:0005713	0.709
GO:0034388	GO:0034388	0.774
GO:0070545	GO:0070545	0.774
GO:0034456	GO:0034456	0.774
GO:1990204	GO:1990204	0.788
GO:1990234	GO:1990234	0.788
GO:1905202	GO:1905202	0.788
GO:1905368	GO:1905368	0.788
GO:1905379	GO:1905379	0.788
GO:0008247	GO:0008247	0.788
GO:1904949	GO:1904949	0.788
GO:1905360	GO:1905360	0.788
GO:1905347	GO:1905347	0.788
GO:0043033	GO:0043033	0.788
GO:1902555	GO:1902555	0.788
GO:1902494	GO:1902494	0.788
GO:0062151	GO:0062151	0.812
GO:1903958	GO:1903958	0.812
GO:1902560	GO:1902560	0.812
GO:0097225	GO:0097225	0.774
GO:0097228	GO:0097228	0.774
GO:0097226	GO:0097226	0.774
GO:0097227	GO:0097227	0.774
GO:0032580	GO:0032580	0.696
GO:0032588	GO:0032588	0.875
GO:1990674	GO:1990674	0.763
GO:0098548	GO:0098548	0.847
GO:0005764	GO:0005764	0.729
GO:0120282	GO:0120282	0.755
GO:0036021	GO:0036021	0.76
GO:0043202	GO:0043202	0.729
GO:0005765	GO:0005765	0.707
GO:0042629	GO:0042629	0.876
GO:0044194	GO:0044194	0.876
GO:0036019	GO:0036019	0.699
GO:0044754	GO:0044754	0.757
GO:0005767	GO:0005767	0.876
GO:0070622	GO:0070622	0.72
GO:0071682	GO:0071682	0.853
GO:0045335	GO:0045335	0.742
GO:0005667	GO:0005667	0.743
GO:0043235	GO:0043235	0.743
GO:1990904	GO:1990904	0.743
GO:1990909	GO:1990909	0.743
GO:0032993	GO:0032993	0.743
GO:0097452	GO:0097452	0.743
GO:0045293	GO:0045293	0.743
GO:0009330	GO:0009330	0.743
GO:0031838	GO:0031838	0.743
GO:0106003	GO:0106003	0.743
GO:1990696	GO:1990696	0.743
GO:0016272	GO:0016272	0.743
GO:0110142	GO:0110142	0.743
GO:0005581	GO:0005581	0.743
GO:0090443	GO:0090443	0.743
GO:1990391	GO:1990391	0.743
GO:0097136	GO:0097136	0.743
GO:1990667	GO:1990667	0.743
GO:1990666	GO:1990666	0.743
GO:1904090	GO:1904090	0.743
GO:0071141	GO:0071141	0.743
GO:0097057	GO:0097057	0.743
GO:0101031	GO:0101031	0.743
GO:1990298	GO:1990298	0.743
GO:1990351	GO:1990351	0.743
GO:1990682	GO:1990682	0.743
GO:1990597	GO:1990597	0.743
GO:1990630	GO:1990630	0.743
GO:0033186	GO:0033186	0.743
GO:0097255	GO:0097255	0.743
GO:1990062	GO:1990062	0.743
GO:0070288	GO:0070288	0.743
GO:0150005	GO:0150005	0.743
GO:0002199	GO:0002199	0.743
GO:0098636	GO:0098636	0.743
GO:0009368	GO:0009368	0.743
GO:0036398	GO:0036398	0.743
GO:0002193	GO:0002193	0.743
GO:0042555	GO:0042555	0.743
GO:0034518	GO:0034518	0.743
GO:0032994	GO:0032994	0.743
GO:0140535	GO:0140535	0.743
GO:1990923	GO:1990923	0.743
GO:0000408	GO:0000408	0.743
GO:1990533	GO:1990533	0.743
GO:0000974	GO:0000974	0.743
GO:0098820	GO:0098820	0.743
GO:1990660	GO:1990660	0.743
GO:1990661	GO:1990661	0.743
GO:1990622	GO:1990622	0.743
GO:1990393	GO:1990393	0.743
GO:0035859	GO:0035859	0.743
GO:0002133	GO:0002133	0.743
GO:0019814	GO:0019814	0.743
GO:0070069	GO:0070069	0.743
GO:1990665	GO:1990665	0.743
GO:0140225	GO:0140225	0.743
GO:0120114	GO:0120114	0.743
GO:0098654	GO:0098654	0.743
GO:0055038	GO:0055038	0.748
GO:0098837	GO:0098837	0.747
GO:0034777	GO:0034777	0.713
GO:1990745	GO:1990745	0.831
GO:0042581	GO:0042581	0.898
GO:0001669	GO:0001669	0.898
GO:0030667	GO:0030667	0.724
GO:0031045	GO:0031045	0.898
GO:0097208	GO:0097208	0.819
GO:0042599	GO:0042599	0.898
GO:0098992	GO:0098992	0.819
GO:0043159	GO:0043159	0.746
GO:0070382	GO:0070382	0.745
GO:0031091	GO:0031091	0.898
GO:0033093	GO:0033093	0.801
GO:0032593	GO:0032593	0.898
GO:0042583	GO:0042583	0.898
GO:0097209	GO:0097209	0.819
GO:0060473	GO:0060473	0.898
GO:0099503	GO:0099503	0.822
GO:0098594	GO:0098594	0.898
GO:0035579	GO:0035579	0.703
GO:0016020	GO:0016020	0.803
GO:0098562	GO:0098562	0.831
GO:0005886	GO:0005886	0.692
GO:0046691	GO:0046691	0.893
GO:0098591	GO:0098591	0.749
GO:1990794	GO:1990794	0.706
GO:0016323	GO:0016323	0.893
GO:0030666	GO:0030666	0.766
GO:0030665	GO:0030665	0.813
GO:0030139	GO:0030139	0.891
GO:0042470	GO:0042470	0.808
GO:0030136	GO:0030136	0.808
GO:0030659	GO:0030659	0.77
GO:0045334	GO:0045334	0.712
GO:0005798	GO:0005798	0.891
GO:0030135	GO:0030135	0.891
GO:0030660	GO:0030660	0.697
GO:0097708	GO:0097708	0.808
GO:0030134	GO:0030134	0.808
GO:0032009	GO:0032009	0.746
GO:1990008	GO:1990008	0.808
GO:1990005	GO:1990005	0.891
GO:0099073	GO:0099073	0.891
GO:0032585	GO:0032585	0.771
GO:0036020	GO:0036020	0.708
GO:0000813	GO:0000813	0.801
GO:0000815	GO:0000815	0.801
GO:0000814	GO:0000814	0.801
GO:0098944	GO:0098944	0.705
GO:0010009	GO:0010009	0.839
GO:0098954	GO:0098954	0.803
GO:0071986	GO:0071986	0.696
GO:0098559	GO:0098559	0.728
GO:0098878	GO:0098878	0.782
GO:0042105	GO:0042105	0.694
GO:0019815	GO:0019815	0.734
GO:0042101	GO:0042101	0.782
GO:0042106	GO:0042106	0.694
GO:0038143	GO:0038143	0.782
